date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:52	929/929	---M-Z	200	added ('OK')	text/css	etag:%223a1-5a2a43e73a0db-gzip%22	https://www.parables.tv/wp-content/plugins/if-menu/assets/if-menu-site.css?ver=5.3.2	/home/oem/websites/parables/wp-content/plugins/if-menu/assets/if-menu-site9dff.css	(from https://www.parables.tv/)
19:00:53	3691/3691	---M-Z	200	added ('OK')	text/css	etag:%22e6b-5a2a43e8515a1-gzip%22	https://www.parables.tv/wp-content/plugins/woocommerce-memberships/assets/css/frontend/wc-memberships-frontend.min.css?ver=1.17.0	/home/oem/websites/parables/wp-content/plugins/woocommerce-memberships/assets/css/frontend/wc-memberships-frontend.min2c75.css	(from https://www.parables.tv/)
19:00:55	482838/482838	---MCZ	200	added ('OK')	text/css	etag:%2275e16-5a2a43e941967-gzip%22	https://www.parables.tv/wp-content/themes/parables/style.css?ver=1.6.0	/home/oem/websites/parables/wp-content/themes/parables/styleaff7.css	(from https://www.parables.tv/)
19:00:56	250/250	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20May%202020%2000:00:55%20GMT	https://fonts.googleapis.com/css?family=Montserrat&ver=5.3.2	/home/oem/websites/parables/css4fa5.css	(from https://www.parables.tv/)
19:00:56	15998/15998	---M-Z	200	added ('OK')	text/css	etag:%223e7e-5a2a43e6fd81a-gzip%22	https://www.parables.tv/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.6.2	/home/oem/websites/parables/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min4c7e.css	(from https://www.parables.tv/)
19:00:57	18468/18468	---M-Z	200	added ('OK')	text/css	etag:%224824-5a2a43e6fb8da-gzip%22	https://www.parables.tv/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.9.2	/home/oem/websites/parables/wp-content/plugins/elementor/assets/lib/animations/animations.minab7d.css	(from https://www.parables.tv/)
19:00:58	109909/109909	---M-Z	200	added ('OK')	text/css	etag:%221ad55-5a2a43e6f4b7a-gzip%22	https://www.parables.tv/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.9.2	/home/oem/websites/parables/wp-content/plugins/elementor/assets/css/frontend.minab7d.css	(from https://www.parables.tv/)
19:00:59	199758/199758	---M-Z	200	added ('OK')	text/css	etag:%2230c4e-5a2a43e6e805a-gzip%22	https://www.parables.tv/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=2.8.4	/home/oem/websites/parables/wp-content/plugins/elementor-pro/assets/css/frontend.min5e0b.css	(from https://www.parables.tv/)
19:01:00	57180/57180	---M-Z	200	added ('OK')	text/css	etag:%22df5c-5a2a43e6ff75a-gzip%22	https://www.parables.tv/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=2.9.2	/home/oem/websites/parables/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minab7d.css	(from https://www.parables.tv/)
19:01:01	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-5a2a43e6ff75a-gzip%22	https://www.parables.tv/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=2.9.2	/home/oem/websites/parables/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.minab7d.css	(from https://www.parables.tv/)
